Drug	Target_Name	Target_Type	Target_UniProt	Target_Species	Database	Reference	Assay_Type	Assay_Relation	Assay_Value	EvidenceLevel_Assigned
Roscovitine	Roscovitine	CDK9	Protein	P50750	Homo sapiens	IUPHAR	23252711	Ki	=	790	III
Ondansetron Hydrochloride	Ondansetron Hydrochloride	HTR3A	Protein	P46098	Homo sapiens	IUPHAR	8818349	Ki	~		III
Ondansetron Hydrochloride	Ondansetron Hydrochloride	HTR3A	Protein	P46098	Homo sapiens	IUPHAR	7565620	Ki	~		III
Ondansetron Hydrochloride	Ondansetron Hydrochloride	HTR3A	Protein	P46098	Homo sapiens	IUPHAR	11489465	Ki	~		III
Ondansetron Hydrochloride	Ondansetron Hydrochloride	HTR3B|HTR3A	Protein	P46098|O95264	Homo sapiens	IUPHAR	11489465	NA	NA	NA	II
Rofecoxib	Rofecoxib	PTGS2	Protein	P35354	Homo sapiens	IUPHAR	10377455	NA	NA	NA	II
Bexarotene	Bexarotene	RXRG	Protein	P48443	Homo sapiens	IUPHAR	8071941	NA	NA	NA	II
Bexarotene	Bexarotene	RXRG	Protein	P48443	Homo sapiens	IUPHAR	10637371	NA	NA	NA	II
Bexarotene	Bexarotene	RXRG	Protein	P48443	Homo sapiens	IUPHAR	10052980	NA	NA	NA	II
Bexarotene	Bexarotene	PPARG	Protein	P37231	Homo sapiens	IUPHAR	26451138	IC50	~	3000	III
Bexarotene	Bexarotene	RXRA	Protein	P19793	Homo sapiens	IUPHAR	8071941	NA	NA	NA	II
Bexarotene	Bexarotene	RXRA	Protein	P19793	Homo sapiens	IUPHAR	10637371	NA	NA	NA	II
Bexarotene	Bexarotene	RXRA	Protein	P19793	Homo sapiens	IUPHAR	10052980	NA	NA	NA	II
Bexarotene	Bexarotene	RXRB	Protein	P28702	Homo sapiens	IUPHAR	8071941	NA	NA	NA	II
Bexarotene	Bexarotene	RXRB	Protein	P28702	Homo sapiens	IUPHAR	10637371	NA	NA	NA	II
Bexarotene	Bexarotene	RXRB	Protein	P28702	Homo sapiens	IUPHAR	10052980	NA	NA	NA	II
Nivolumab	Nivolumab	PDCD1	Protein	Q15116	Homo sapiens	IUPHAR	21154117	Kd	=	0.730000019	III
Nivolumab	Nivolumab	PDCD1	Protein	Q15116	Homo sapiens	IUPHAR	23302904	Kd	=	0.730000019	III
Panitumumab	Panitumumab	EGFR	Protein	P00533	Homo sapiens	IUPHAR	14967460	Kd	=	0.050000001	III
Vorinostat	Vorinostat	HDAC3	Protein	O15379	Homo sapiens	IUPHAR	20139990	Ki	=	5	III
Vorinostat	Vorinostat	HDAC11	Protein	Q96DB2	Homo sapiens	IUPHAR	20451378	Ki	=	36	III
Vorinostat	Vorinostat	HDAC9	Protein	Q9UKV0	Homo sapiens	IUPHAR	20451378	Ki	=	65	III
Vorinostat	Vorinostat	HDAC1	Protein	Q13547	Homo sapiens	IUPHAR	20139990	Ki	=	1.299999952	III
Vorinostat	Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	IUPHAR	20451378	Ki	=		III
Vorinostat	Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	IUPHAR	20139990	Ki	=		III
Vorinostat	Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	IUPHAR	20139990	Ki	=	1.600000024	III
Vorinostat	Vorinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	IUPHAR	20139990	Ki	=	1.600000024	III
Vorinostat	Vorinostat	HDAC10	Protein	Q969S8	Homo sapiens	IUPHAR	20451378	Ki	=	50	III
Vorinostat	Vorinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	IUPHAR	20139990	Ki	=	3600	III
Niraparib	Niraparib	PARP2	Protein	Q9UGN5	Homo sapiens	IUPHAR	19873981	IC50	=	2.099999905	III
Niraparib	Niraparib	PARP1	Protein	P09874	Homo sapiens	IUPHAR	19873981	IC50	=	3.799999952	III
PRT062607	PRT062607	FGR	Protein	P09769	Homo sapiens	IUPHAR	22040680	IC50	=	81	III
PRT062607	PRT062607	SYK	Protein	P43405	Homo sapiens	IUPHAR	22040680	IC50	=	1	III
PRT062607	PRT062607	MAP3K9	Protein	P80192	Homo sapiens	IUPHAR	22040680	IC50	=	88	III
GSK-1838705A	GSK-1838705A	IGF1R	Protein	P08069	Homo sapiens	IUPHAR	19825801	IC50	=	2	III
GSK-1838705A	GSK-1838705A	IGF1R	Protein	P08069	Homo sapiens	IUPHAR	22037378	Kd	=	7	III
GSK-1838705A	GSK-1838705A	INSR	Protein	P06213	Homo sapiens	IUPHAR	19825801	IC50	=	1.600000024	III
GSK-1838705A	GSK-1838705A	RPS6KA1	Protein	Q15418	Homo sapiens	IUPHAR	19825801	IC50	=	1600	III
GSK-1838705A	GSK-1838705A	ALK	Protein	Q9UM73	Homo sapiens	IUPHAR	19825801	IC50	=	0.5	III
Tofacitinib	Tofacitinib	JAK3	Protein	P52333	Homo sapiens	IUPHAR	21105711	IC50	=		III
Tofacitinib	Tofacitinib	JAK3	Protein	P52333	Homo sapiens	IUPHAR	14593182	IC50	=		III
Erdafitinib	Erdafitinib	FGFR2	Protein	P21802	Homo sapiens	IUPHAR	NA_IUPHAR	IC50	=	2.289999962	I
Erdafitinib	Erdafitinib	FGFR1	Protein	P11362	Homo sapiens	IUPHAR	NA_IUPHAR	IC50	=	1.139999986	I
Erdafitinib	Erdafitinib	FGFR3	Protein	P22607	Homo sapiens	IUPHAR	NA_IUPHAR	IC50	=	3.019999981	I
Erdafitinib	Erdafitinib	KDR	Protein	P35968	Homo sapiens	IUPHAR	NA_IUPHAR	IC50	=	36.29999924	I
Erdafitinib	Erdafitinib	FGFR4	Protein	P22455	Homo sapiens	IUPHAR	NA_IUPHAR	IC50	=	5.619999886	I
GDC-0879	GDC-0879	BRAF	Protein	P15056	Homo sapiens	IUPHAR	22037378	IC50	=		III
GDC-0879	GDC-0879	BRAF	Protein	P15056	Homo sapiens	IUPHAR	18676143	IC50	=		III
Vemurafenib	Vemurafenib	BRAF	Protein	P15056	Homo sapiens	IUPHAR	22808911	IC50	=	100	III
Vemurafenib	Vemurafenib	RAF1	Protein	P04049	Homo sapiens	IUPHAR	22808911	IC50	=		III
Vemurafenib	Vemurafenib	RAF1	Protein	P04049	Homo sapiens	IUPHAR	26343583	IC50	=		III
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	CD33	Protein	P20138	Homo sapiens	IUPHAR	10720144	NA	NA	NA	II
JAK2 Inhibitor AZD1480	JAK2 Inhibitor AZD1480	JAK1	Protein	P23458	Homo sapiens	IUPHAR	21138246	IC50	<	3	III
JAK2 Inhibitor AZD1480	JAK2 Inhibitor AZD1480	JAK2	Protein	O60674	Homo sapiens	IUPHAR	18775810	IC50	=	8	III
JAK2 Inhibitor AZD1480	JAK2 Inhibitor AZD1480	JAK3	Protein	P52333	Homo sapiens	IUPHAR	18775810	IC50	=	3630	III
Doxorubicin Hydrochloride	Doxorubicin Hydrochloride	TOP2A	Protein	P11388	Homo sapiens	IUPHAR	11430001	IC50	=	1000	III
Ruxolotinib	Ruxolotinib	JAK3	Protein	P52333	Homo sapiens	IUPHAR	23061660	IC50	=	3.220000029	III
Ruxolotinib	Ruxolotinib	JAK1	Protein	P23458	Homo sapiens	IUPHAR	23061660	IC50	=		III
Ruxolotinib	Ruxolotinib	JAK1	Protein	P23458	Homo sapiens	IUPHAR	20130243	IC50	=		III
Ruxolotinib	Ruxolotinib	TYK2	Protein	P29597	Homo sapiens	IUPHAR	23061660	IC50	=	0.550000012	III
Ruxolotinib	Ruxolotinib	JAK2	Protein	O60674	Homo sapiens	IUPHAR	23061660	IC50	=		III
Ruxolotinib	Ruxolotinib	JAK2	Protein	O60674	Homo sapiens	IUPHAR	20130243	IC50	=		III
PH-797804	PH-797804	MAPK14	Protein	Q16539	Homo sapiens	IUPHAR	NA_IUPHAR	Ki	=	2.900000095	I
PH-797804	PH-797804	MAPK11	Protein	Q15759	Homo sapiens	IUPHAR	21620699	Ki	=	40	III
Sacituzumab	Sacituzumab	TACSTD2	Protein	P09758	Homo sapiens	IUPHAR	NA_IUPHAR	NA	NA	NA	I
Sapanisertib	Sapanisertib	PIK3CD	Protein	O00329	Homo sapiens	IUPHAR	22367541	IC50	=	230	III
Sapanisertib	Sapanisertib	MTOR	Protein	P42345	Homo sapiens	IUPHAR	22367541	Ki	=	1.399999976	III
Sapanisertib	Sapanisertib	MTOR	Protein	P42345	Homo sapiens	IUPHAR	22367541	IC50	=	1	III
Sapanisertib	Sapanisertib	PIK3CG	Protein	P48736	Homo sapiens	IUPHAR	22367541	IC50	=	221	III
Sapanisertib	Sapanisertib	PIK3CA	Protein	P42336	Homo sapiens	IUPHAR	22367541	IC50	=	219	III
Tivozanib	Tivozanib	FLT1	Protein	P17948	Homo sapiens	IUPHAR	23098265	IC50	=	0.209999993	III
Tivozanib	Tivozanib	KDR	Protein	P35968	Homo sapiens	IUPHAR	23098265	IC50	=	0.159999996	III
Tivozanib	Tivozanib	FLT4	Protein	P35916	Homo sapiens	IUPHAR	23098265	IC50	=	0.239999995	III
Bevacizumab	Bevacizumab	VEGFA	Protein	P15692	Homo sapiens	IUPHAR	NA_IUPHAR	IC50	=		I
Neratinib	Neratinib	EGFR	Protein	P00533	Homo sapiens	IUPHAR	15173008	IC50	=	92	III
Neratinib	Neratinib	ERBB2	Protein	P04626	Homo sapiens	IUPHAR	22037378	Kd	=	6	III
Neratinib	Neratinib	ERBB2	Protein	P04626	Homo sapiens	IUPHAR	15173008	IC50	=	59	III
Necitumumab	Necitumumab	EGFR	Protein	P00533	Homo sapiens	IUPHAR	NA_IUPHAR	Kd	=	0.319999993	I
Blinatumomab	Blinatumomab	CD19	Protein	P15391	Homo sapiens	IUPHAR	12209608	Kd	=	1	III
Blinatumomab	Blinatumomab	CD3E	Protein	P07766	Homo sapiens	IUPHAR	12209608	Kd	=	100	III
Fedratinib	Fedratinib	BRD4	Protein	O60885	Homo sapiens	IUPHAR	24584101	Kd	=	164	III
Fedratinib	Fedratinib	JAK1	Protein	P23458	Homo sapiens	IUPHAR	21106455	IC50	=	100	III
Fedratinib	Fedratinib	JAK2	Protein	O60674	Homo sapiens	IUPHAR	21106455	IC50	=	3	III
Fedratinib	Fedratinib	JAK2	Protein	O60674	Homo sapiens	IUPHAR	18394554	IC50	=	3	III
Fedratinib	Fedratinib	TYK2	Protein	P29597	Homo sapiens	IUPHAR	21106455	IC50	=	150	III
Fedratinib	Fedratinib	JAK3	Protein	P52333	Homo sapiens	IUPHAR	21106455	IC50	=	1000	III
Vinblastine Sulfate	Vinblastine Sulfate	TUBB	Protein	P07437	Homo sapiens	IUPHAR	NA_IUPHAR	IC50	=	1	I
Indisulam	Indisulam	CA12	Protein	O43570	Homo sapiens	IUPHAR	23965175	Ki	=	3.400000095	III
Indisulam	Indisulam	CA7	Protein	P43166	Homo sapiens	IUPHAR	23965175	Ki	=	122	III
Indisulam	Indisulam	CA1	Protein	P00915	Homo sapiens	IUPHAR	23965175	Ki	=	31	III
Cabazitaxel	Cabazitaxel	TUBB	Protein	P07437	Homo sapiens	IUPHAR	NA_IUPHAR	NA	NA	NA	I
Osimertinib	Osimertinib	EGFR	Protein	P00533	Homo sapiens	IUPHAR	NA_IUPHAR	IC50	=		I
Entospletinib	Entospletinib	SYK	Protein	P43405	Homo sapiens	IUPHAR	24779514	IC50	=	7.699999809	III
Plerixafor	Plerixafor	CCR4	Protein	P51679	Homo sapiens	IUPHAR	16815309	IC50	=	651	III
Plerixafor	Plerixafor	ACKR3	Protein	P25106	Homo sapiens	IUPHAR	19255243	NA	NA	NA	II
Plerixafor	Plerixafor	ACKR3	Protein	P25106	Homo sapiens	IUPHAR	20956518	NA	NA	NA	II
Plerixafor	Plerixafor	CXCR4	Protein	P61073	Homo sapiens	IUPHAR	11923301	NA	NA	NA	II
Dual IGF-1R/InsR Inhibitor BMS-754807	Dual IGF-1R/InsR Inhibitor BMS-754807	IGF1R	Protein	P08069	Homo sapiens	IUPHAR	19778024	IC50	=	2	III
Pan-AKT Kinase Inhibitor GSK690693	Pan-AKT Kinase Inhibitor GSK690693	PAK6	Protein	Q9NQU5	Homo sapiens	IUPHAR	18800763	IC50	=	6	III
Pan-AKT Kinase Inhibitor GSK690693	Pan-AKT Kinase Inhibitor GSK690693	PRKCQ	Protein	Q04759	Homo sapiens	IUPHAR	18800763	IC50	=	2	III
Pan-AKT Kinase Inhibitor GSK690693	Pan-AKT Kinase Inhibitor GSK690693	PAK7	Protein	Q9P286	Homo sapiens	IUPHAR	18800763	IC50	=	52	III
Pan-AKT Kinase Inhibitor GSK690693	Pan-AKT Kinase Inhibitor GSK690693	AKT1	Protein	P31749	Homo sapiens	IUPHAR	18800763	IC50	=	2	III
Pan-AKT Kinase Inhibitor GSK690693	Pan-AKT Kinase Inhibitor GSK690693	AKT1	Protein	P31749	Homo sapiens	IUPHAR	22037378	Kd	=	2.200000048	III
Pan-AKT Kinase Inhibitor GSK690693	Pan-AKT Kinase Inhibitor GSK690693	PRKX	Protein	P51817	Homo sapiens	IUPHAR	18800763	IC50	=	5	III
Pan-AKT Kinase Inhibitor GSK690693	Pan-AKT Kinase Inhibitor GSK690693	PRKG1	Protein	Q13976	Homo sapiens	IUPHAR	18800763	IC50	=	33	III
Pan-AKT Kinase Inhibitor GSK690693	Pan-AKT Kinase Inhibitor GSK690693	PAK4	Protein	O96013	Homo sapiens	IUPHAR	18800763	IC50	=	10	III
Pan-AKT Kinase Inhibitor GSK690693	Pan-AKT Kinase Inhibitor GSK690693	AKT2	Protein	P31751	Homo sapiens	IUPHAR	18800763	IC50	=	13	III
Pan-AKT Kinase Inhibitor GSK690693	Pan-AKT Kinase Inhibitor GSK690693	AKT3	Protein	Q9Y243	Homo sapiens	IUPHAR	18800763	IC50	=	9	III
Clofarabine	Clofarabine	RRM1	Protein	P23921	Homo sapiens	IUPHAR	1707752	IC50	=	5	III
Clofarabine	Clofarabine	RRM2	Protein	P31350	Homo sapiens	IUPHAR	1707752	IC50	=	5	III
Celecoxib	Celecoxib	PTGS2	Protein	P35354	Homo sapiens	IUPHAR	12643942	IC50	=	2	III
Celecoxib	Celecoxib	CA12	Protein	O43570	Homo sapiens	IUPHAR	23965175	Ki	=	18	III
Dasatinib	Dasatinib	SRC	Protein	P12931	Homo sapiens	IUPHAR	15930265	IC50	=	0.800000012	III
Dasatinib	Dasatinib	ABL1	Protein	P00519	Homo sapiens	IUPHAR	23279183	IC50	=	0.270000011	III
Linifanib	Linifanib	PDGFRB	Protein	P09619	Homo sapiens	IUPHAR	16648571	IC50	=	66	III
Linifanib	Linifanib	CDK8	Protein	P49336	Homo sapiens	IUPHAR	26502155	Kd	=	6.840000153	III
Linifanib	Linifanib	CSF1R	Protein	P07333	Homo sapiens	IUPHAR	16648571	IC50	=	3	III
Linifanib	Linifanib	RET	Protein	P07949	Homo sapiens	IUPHAR	16648571	IC50	=	1900	III
Linifanib	Linifanib	KIT	Protein	P10721	Homo sapiens	IUPHAR	16648571	IC50	=	14	III
Linifanib	Linifanib	FLT3	Protein	P36888	Homo sapiens	IUPHAR	22037378	Kd	=	0.629999995	III
Linifanib	Linifanib	FLT3	Protein	P36888	Homo sapiens	IUPHAR	16648571	IC50	=	4	III
Linifanib	Linifanib	FLT4	Protein	P35916	Homo sapiens	IUPHAR	16648571	IC50	=	190	III
Linifanib	Linifanib	CDK19	Protein	Q9BWU1	Homo sapiens	IUPHAR	26502155	Kd	=	11.89999962	III
Linifanib	Linifanib	KDR	Protein	P35968	Homo sapiens	IUPHAR	16648571	IC50	=	4	III
Linifanib	Linifanib	TEK	Protein	Q02763	Homo sapiens	IUPHAR	16648571	IC50	=	170	III
Linifanib	Linifanib	FLT1	Protein	P17948	Homo sapiens	IUPHAR	16648571	IC50	=	3	III
Docetaxel	Docetaxel	TUBB	Protein	P07437	Homo sapiens	IUPHAR	NA_IUPHAR	NA	NA	NA	I
Alemtuzumab	Alemtuzumab	CD52	Protein	P31358	Homo sapiens	IUPHAR	9593475	NA	NA	NA	II
Genistein	Genistein	ESR2	Protein	Q92731	Homo sapiens	IUPHAR	9048584	NA	NA	NA	II
Genistein	Genistein	CFTR	Protein	P13569	Homo sapiens	IUPHAR	NA_IUPHAR	NA	NA	NA	I
Genistein	Genistein	ESRRB	Protein	O95718	Homo sapiens	IUPHAR	14638870	NA	NA	NA	II
Genistein	Genistein	ESRRG	Protein	P62508	Homo sapiens	IUPHAR	14638870	NA	NA	NA	II
Genistein	Genistein	ESRRA	Protein	P11474	Homo sapiens	IUPHAR	14638870	NA	NA	NA	II
Genistein	Genistein	TRPC5	Protein	Q9UL62	Homo sapiens	IUPHAR	20233211	NA	NA	NA	II
JQ1	JQ1	Brdt	Protein	Q91Y44	Mouse	IUPHAR	22901802	IC50	=	10	III
JQ1	JQ1	BRDT	Protein	Q58F21	Homo sapiens	IUPHAR	22901802	IC50	=	11	III
JQ1	JQ1	BRD4	Protein	O60885	Homo sapiens	IUPHAR	20871596	Kd	=	50	III
Ixabepilone	Ixabepilone	TUBB	Protein	P07437	Homo sapiens	IUPHAR	NA_IUPHAR	NA	NA	NA	I
SB-431542	SB-431542	ACVR1C	Protein	Q8NER5	Homo sapiens	IUPHAR	23130626	NA	NA	NA	II
SB-431542	SB-431542	ACVR1C	Protein	Q8NER5	Homo sapiens	IUPHAR	19616940	NA	NA	NA	II
SB-431542	SB-431542	TGFBR1	Protein	P36897	Homo sapiens	IUPHAR	11855979	IC50	=	94	III
Plk1 Inhibitor BI 2536	Plk1 Inhibitor BI 2536	PLK3	Protein	Q9H4B4	Homo sapiens	IUPHAR	17291758	IC50	=	9	III
Plk1 Inhibitor BI 2536	Plk1 Inhibitor BI 2536	PLK2	Protein	Q9NYY3	Homo sapiens	IUPHAR	17291758	IC50	=	3.5	III
Plk1 Inhibitor BI 2536	Plk1 Inhibitor BI 2536	PLK1	Protein	P53350	Homo sapiens	IUPHAR	17291758	IC50	=	0.829999983	III
Plk1 Inhibitor BI 2536	Plk1 Inhibitor BI 2536	PLK1	Protein	P53350	Homo sapiens	IUPHAR	23103095	Ki	=	3	III
Plk1 Inhibitor BI 2536	Plk1 Inhibitor BI 2536	BRD4	Protein	O60885	Homo sapiens	IUPHAR	24584101	Kd	=	37	III
Pamidronate Disodium	Pamidronate Disodium	FDPS	Protein	P14324	Homo sapiens	IUPHAR	18327899	IC50	=	200	III
Alectinib	Alectinib	ALK	Protein	Q9UM73	Homo sapiens	IUPHAR	22225917	IC50	=	1.899999976	III
Alectinib	Alectinib	MET	Protein	P08581	Homo sapiens	IUPHAR	22225917	IC50	>	5000	III
PHA-665752	PHA-665752	MET	Protein	P08581	Homo sapiens	IUPHAR	22037378	Kd	=	0.270000011	III
PHA-665752	PHA-665752	MET	Protein	P08581	Homo sapiens	IUPHAR	14612533	Ki	=	4	III
Taselisib	Taselisib	PIK3CG	Protein	P48736	Homo sapiens	IUPHAR	23662903	Ki	=	0.970000029	III
Taselisib	Taselisib	PIK3CD	Protein	O00329	Homo sapiens	IUPHAR	23662903	Ki	=	0.209999993	III
Taselisib	Taselisib	PIK3CA	Protein	P42336	Homo sapiens	IUPHAR	23662903	Ki	=	0.289999992	III
Taselisib	Taselisib	PIK3CB	Protein	P42338	Homo sapiens	IUPHAR	23662903	Ki	=	9.100000381	III
Ralimetinib	Ralimetinib	MAPK14	Protein	Q16539	Homo sapiens	IUPHAR	18039577	IC50	=	7	III
Methotrexate	Methotrexate	DHFR	Protein	P00374	Homo sapiens	IUPHAR	7877140	Ki	=	1.200000048	III
Methotrexate	Methotrexate	SLC19A1	Protein	P41440	Homo sapiens	IUPHAR	15615544	Ki	=	4700	III
Ixazomib Citrate	Ixazomib Citrate	PSMB5	Protein	P28074	Homo sapiens	IUPHAR	20160034	Ki	=	0.930000007	III
Degarelix	Degarelix	GNRHR	Protein	P30968	Homo sapiens	IUPHAR	21188095	Ki	=	1.700000048	III
Daratumumab	Daratumumab	CD38	Protein	P28907	Homo sapiens	IUPHAR	NA_IUPHAR	Kd	=	6.059999943	I
Axitinib	Axitinib	PLK4	Protein	O00444	Homo sapiens	IUPHAR	23829549	IC50	=	46	III
Axitinib	Axitinib	KDR	Protein	P35968	Homo sapiens	IUPHAR	22037378	Kd	=	5.900000095	III
Axitinib	Axitinib	KDR	Protein	P35968	Homo sapiens	IUPHAR	20869793	IC50	=	0.25	III
Quizartinib	Quizartinib	RET	Protein	P07949	Homo sapiens	IUPHAR	19754199	Kd	=	9.899999619	III
Quizartinib	Quizartinib	CSF1R	Protein	P07333	Homo sapiens	IUPHAR	19754199	Kd	=	12	III
Quizartinib	Quizartinib	PDGFRA	Protein	P16234	Homo sapiens	IUPHAR	19754199	Kd	=	11	III
Quizartinib	Quizartinib	KIT	Protein	P10721	Homo sapiens	IUPHAR	19754199	Kd	=	4.800000191	III
Quizartinib	Quizartinib	FLT3	Protein	P36888	Homo sapiens	IUPHAR	22037378	Kd	=		III
Quizartinib	Quizartinib	FLT3	Protein	P36888	Homo sapiens	IUPHAR	19754199	Kd	=		III
Quizartinib	Quizartinib	FLT3	Protein	P36888	Homo sapiens	IUPHAR	19654408	IC50	=	4.199999809	III
Quizartinib	Quizartinib	PDGFRB	Protein	P09619	Homo sapiens	IUPHAR	19754199	Kd	=	7.699999809	III
Atezolizumab	Atezolizumab	CD274	Protein	Q9NZQ7	Homo sapiens	IUPHAR	NA_IUPHAR	Kd	=		I
Lestaurtinib	Lestaurtinib	FLT3	Protein	P36888	Homo sapiens	IUPHAR	22037378	Kd	=	8.5	III
Dovitinib	Dovitinib	PDGFRA	Protein	P16234	Homo sapiens	IUPHAR	15598814	IC50	=	210	III
Dovitinib	Dovitinib	PDGFRB	Protein	P09619	Homo sapiens	IUPHAR	15598814	IC50	=		III
Dovitinib	Dovitinib	PDGFRB	Protein	P09619	Homo sapiens	IUPHAR	19113866	IC50	=		III
Dovitinib	Dovitinib	FLT4	Protein	P35916	Homo sapiens	IUPHAR	15598814	IC50	=		III
Dovitinib	Dovitinib	FLT4	Protein	P35916	Homo sapiens	IUPHAR	19113866	IC50	=		III
Dovitinib	Dovitinib	EGFR	Protein	P00533	Homo sapiens	IUPHAR	15598814	IC50	=	2000	III
Dovitinib	Dovitinib	INSR	Protein	P06213	Homo sapiens	IUPHAR	15598814	IC50	=	2000	III
Dovitinib	Dovitinib	KIT	Protein	P10721	Homo sapiens	IUPHAR	15598814	IC50	=		III
Dovitinib	Dovitinib	KIT	Protein	P10721	Homo sapiens	IUPHAR	19113866	IC50	=		III
Dovitinib	Dovitinib	CSF1R	Protein	P07333	Homo sapiens	IUPHAR	15598814	IC50	=		III
Dovitinib	Dovitinib	CSF1R	Protein	P07333	Homo sapiens	IUPHAR	19113866	IC50	=		III
