Drug	Target_Name	Target_Type	Target_UniProt	Target_Species	Database	Reference	Assay_Type	Assay_Relation	Assay_Value	EvidenceLevel_Assigned
Lapatinib Ditosylate	CLK4	Protein	Q9HAZ1	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	CLK4	Protein	Q9HAZ1	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	PIP4K2C	Protein	Q8TBX8	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	MAP3K11	Protein	Q16584	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	MAP3K11	Protein	Q16584	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	WEE1	Protein	P30291	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	WEE1	Protein	P30291	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	MAP4K5	Protein	Q9Y4K4	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	MAP4K5	Protein	Q9Y4K4	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	ACVR2A	Protein	P27037	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	ACVR2A	Protein	P27037	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	NEK2	Protein	P51955	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	NEK2	Protein	P51955	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	RPS6KA5	Protein	O75582	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	RPS6KA5	Protein	O75582	Homo sapiens	BindingDB	18183025	KD	>	1	III
Lapatinib Ditosylate	RPS6KA5	Protein	O75582	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	RPS6KA5	Protein	O75582	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	CAMK2B	Protein	Q13554	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	CAMK2B	Protein	Q13554	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	NEK11	Protein	Q8NG66	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	STK35	Protein	Q8TDR2	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	STK4	Protein	Q13043	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	STK4	Protein	Q13043	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	NEK6	Protein	Q9HC98	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	NEK6	Protein	Q9HC98	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	STK36	Protein	Q9NRP7	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	STK36	Protein	Q9NRP7	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	FES	Protein	P07332	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	FES	Protein	P07332	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	FLT3	Protein	P36888	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	FLT3	Protein	P36888	Homo sapiens	BindingDB	18183025	KD	>	1	III
Lapatinib Ditosylate	FLT3	Protein	P36888	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	FLT3	Protein	P36888	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	FLT3	Protein	P36888	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	FLT3	Protein	P36888	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	FLT3	Protein	P36888	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	FLT3	Protein	P36888	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	FLT3	Protein	P36888	Homo sapiens	BindingDB	18183025	KD	>	1	III
Lapatinib Ditosylate	FLT3	Protein	P36888	Homo sapiens	BindingDB	18183025	KD	>	1	III
Lapatinib Ditosylate	FLT3	Protein	P36888	Homo sapiens	BindingDB	18183025	KD	>	1	III
Lapatinib Ditosylate	FLT3	Protein	P36888	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	TEC	Protein	P42680	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	TEC	Protein	P42680	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	DAPK1	Protein	P53355	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	DAPK1	Protein	P53355	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	PDGFRA	Protein	P16234	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	PDGFRA	Protein	P16234	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	STK38	Protein	Q15208	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	BRSK1	Protein	Q8TDC3	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	BRSK1	Protein	Q8TDC3	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	MAP3K13	Protein	O43283	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	PTK2B	Protein	Q14289	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	PTK2B	Protein	Q14289	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	NEK7	Protein	Q8TDX7	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	NEK7	Protein	Q8TDX7	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	Serine/threonine-protein kinase pknB	Protein	P9WI81	Mycobacterium tuberculosis	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	CSNK1A1	Protein	P48729	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	EPHA2	Protein	P29317	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	EPHA2	Protein	P29317	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	BLK	Protein	P51451	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	BLK	Protein	P51451	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	SBK1	Protein	Q52WX2	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	ROCK2	Protein	O75116	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	ACVR1B	Protein	P36896	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	ACVR1B	Protein	P36896	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	ABL1	Protein	P00519	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	ABL1	Protein	P00519	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	ABL1	Protein	P00519	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	ABL1	Protein	P00519	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	ABL1	Protein	P00519	Homo sapiens	BindingDB	18183025	KD	>	1	III
Lapatinib Ditosylate	ABL1	Protein	P00519	Homo sapiens	BindingDB	18183025	KD	>	1	III
Lapatinib Ditosylate	ABL1	Protein	P00519	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	ABL1	Protein	P00519	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	ABL1	Protein	P00519	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	ABL1	Protein	P00519	Homo sapiens	BindingDB	18183025	KD	>	1	III
Lapatinib Ditosylate	ABL1	Protein	P00519	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	ABL1	Protein	P00519	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	ABL1	Protein	P00519	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	ABL1	Protein	P00519	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	ABL1	Protein	P00519	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	ABL1	Protein	P00519	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	ABL1	Protein	P00519	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	ABL1	Protein	P00519	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	ABL1	Protein	P00519	Homo sapiens	BindingDB	21080629	IC50	=	 23000	III
Lapatinib Ditosylate	ABL1	Protein	P00519	Homo sapiens	BindingDB	18183025	KD	>	1	III
Lapatinib Ditosylate	ABL1	Protein	P00519	Homo sapiens	BindingDB	18183025	KD	>	1	III
Lapatinib Ditosylate	ABL1	Protein	P00519	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	ABL1	Protein	P00519	Homo sapiens	BindingDB	18183025	KD	>	1	III
Lapatinib Ditosylate	BMP2K	Protein	Q9NSY1	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	BMP2K	Protein	Q9NSY1	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	MAPK14	Protein	Q16539	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	MAPK14	Protein	Q16539	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	LCK	Protein	P06239	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	LCK	Protein	P06239	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	PAK2	Protein	Q13177	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	PAK2	Protein	Q13177	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	MET	Protein	P08581	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	MET	Protein	P08581	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	MET	Protein	P08581	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	MET	Protein	P08581	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	CAMK2G	Protein	Q13555	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	CAMK2G	Protein	Q13555	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	CDK17	Protein	Q00537	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	CDK17	Protein	Q00537	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	GRK1	Protein	Q15835	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	NEK4	Protein	P51957	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	PRKCH	Protein	P24723	Homo sapiens	BindingDB	18183025	KD	>	1	III
Lapatinib Ditosylate	PRKCH	Protein	P24723	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	CAMKK1	Protein	Q8N5S9	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	CAMKK1	Protein	Q8N5S9	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	CDK16	Protein	Q00536	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	CDK16	Protein	Q00536	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	MAP2K7	Protein	O14733	Homo sapiens	BindingDB	22037378	KD	=	 4400	III
Lapatinib Ditosylate	MINK1	Protein	Q8N4C8	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	MAPK13	Protein	O15264	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	PRKACB	Protein	P22694	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	PRKACB	Protein	P22694	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	ICK	Protein	Q9UPZ9	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	CAMKK2	Protein	Q96RR4	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	CAMKK2	Protein	Q96RR4	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	CDC42BPA	Protein	Q5VT25	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	CDC42BPA	Protein	Q5VT25	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	CSNK1G3	Protein	Q9Y6M4	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	CSNK1G3	Protein	Q9Y6M4	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	HIPK4	Protein	Q8NE63	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	PLK3	Protein	Q9H4B4	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	PLK3	Protein	Q9H4B4	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	SRPK3	Protein	Q9UPE1	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	CAMK2D	Protein	Q13557	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	CAMK2D	Protein	Q13557	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	CSNK1D	Protein	P48730	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	CSNK1D	Protein	P48730	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	BMPR2	Protein	Q13873	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	BMPR2	Protein	Q13873	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	ZAP70	Protein	P43403	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	ZAP70	Protein	P43403	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	FER	Protein	P16591	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	FER	Protein	P16591	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	STK17A	Protein	Q9UEE5	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	STK17A	Protein	Q9UEE5	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	AURKA	Protein	O14965	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	AURKA	Protein	O14965	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	MAK	Protein	P20794	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	DYRK1B	Protein	Q9Y463	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	DYRK1B	Protein	Q9Y463	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	ERBB2	Protein	P04626	Homo sapiens	DrugBank	12214266	NA	NA	NA	II
